UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Other Educational Professionals,Not outsourced,70,60.79840760028201,18.406664370740014,17.902375378341763,71,61.569022024489875,98.74837312845193
Other Educational Professionals,Outsourced,1,0.7706144242078602,26.519337016574585,26.519337016574585,71,61.569022024489875,1.2516268715480625
Other Elementary Services Occupations,Not outsourced,144,181.673371032515,11.258008570111054,11.277593051006967,183,243.1189003771051,74.72614048135252
Other Elementary Services Occupations,Outsourced,39,61.44552934459009,10.696932672223902,10.563660877941167,183,243.1189003771051,25.273859518647495
Other Health Professionals,Not outsourced,62,55.69589975201552,20.312555835547847,19.563145742458726,79,72.41922621205029,76.90761509786462
Other Health Professionals,Outsourced,17,16.723326460034777,17.653605443957925,18.3498879217778,79,72.41922621205029,23.09238490213539
Other Skilled Trades,Not outsourced,8,10.707306856828826,16.36867283950617,16.317532273336337,8,10.707306856828826,100
Plant And Machine Operatives,Not outsourced,30,36.85037646817119,15.848877596363918,15.480067081082563,36,46.12290781920207,79.89603910625405
Plant And Machine Operatives,Outsourced,6,9.272531351030878,13.286522369635252,12.960768315116747,36,46.12290781920207,20.103960893745953
Printing Trades,Not outsourced,4,6.3430203704688015,16.38027112748107,16.284496034506454,4,6.3430203704688015,100
Process Operatives,Not outsourced,39,45.95548015062315,13.275750225733573,13.109989173923521,53,64.42819566968436,71.32821224147172
Process Operatives,Outsourced,14,18.472715519061197,15.340367287626844,14.701286387843481,53,64.42819566968436,28.671787758528268
Production Managers And Directors,Not outsourced,64,62.58426839138666,23.041955067391967,22.382321609629653,73,71.08234677745084,88.04474138611306
Production Managers And Directors,Outsourced,9,8.49807838606418,21.81408097057026,23.335440879731994,73,71.08234677745084,11.955258613886944
"Production, Factory And Assembly Supervisors",Not outsourced,20,24.09337343462009,15.65235790903171,14.882557654227512,24,30.19350537924781,79.79654277300185
"Production, Factory And Assembly Supervisors",Outsourced,4,6.10013194462772,12.939102564102564,11.923237433326532,24,30.19350537924781,20.20345722699816
Protective Service Occupations,Not outsourced,87,87.43607020022714,20.958506263198977,20.770817105513878,98,98.81427628486784,88.48526092339236
Protective Service Occupations,Outsourced,11,11.378206084640713,16.945701162275746,16.109804385871108,98,98.81427628486784,11.514739076607638
Public Services Associate Professionals,Not outsourced,10,7.599277645293112,17.96989127574113,17.91027690931798,14,10.760004095284678,70.62523004636512
Public Services Associate Professionals,Outsourced,4,3.1607264499915666,12.343184253605159,12.535084863956497,14,10.760004095284678,29.374769953634882
Quality And Regulatory Professionals,Not outsourced,33,30.324886829116107,20.731440924702184,20.880656410531344,37,33.20155879739818,91.33573219909331
Quality And Regulatory Professionals,Outsourced,4,2.8766719682820736,16.86371122503719,16.583230018512275,37,33.20155879739818,8.664267800906693
Regulatory Associate Professionals,Not outsourced,21,18.983661660064943,21.260245135572383,20.18907324987424,25,21.818071663098195,87.00888856356995
Regulatory Associate Professionals,Outsourced,4,2.83441000303325,24.182413726693866,24.509352902516625,25,21.818071663098195,12.991111436430034
Research And Development (R&D) And Other Research Professionals,Not outsourced,15,12.659263837242609,22.159357405287423,21.73029368357875,19,16.382065810275392,77.27513723758993
Research And Development (R&D) And Other Research Professionals,Outsourced,4,3.7228019730327824,20.812359320646614,22.01627428048719,19,16.382065810275392,22.72486276241006
Road Transport Drivers,Not outsourced,154,184.9719458633314,14.803075950734318,14.777015001752165,195,230.13921609021708,80.37393583144056
Road Transport Drivers,Outsourced,41,45.16727022688567,14.94261153235415,14.094743584240472,195,230.13921609021708,19.626064168559438
Sales Assistants And Retail Cashiers,Not outsourced,496,565.5014239480058,12.447878700859192,12.468269615587557,595,666.1606103975622,84.88965200306825
Sales Assistants And Retail Cashiers,Outsourced,99,100.65918644955643,13.524742522043653,13.551147755361345,595,666.1606103975622,15.110347996931761
Sales Related Occupations,Not outsourced,16,17.500706196989373,16.1411267858361,15.018912396613828,21,22.46138005137636,77.91465242545054
Sales Related Occupations,Outsourced,5,4.960673854386987,13.302056368668756,13.393890622103171,21,22.46138005137636,22.08534757454947
"Sales, Marketing And Related Associate Professionals",Not outsourced,155,158.18938569374296,18.3787457023357,18.431847096281633,175,173.77671864099239,91.0302524589318
"Sales, Marketing And Related Associate Professionals",Outsourced,20,15.587332947249418,17.063549128311433,16.61152413319002,175,173.77671864099239,8.9697475410682
"Science, Engineering And Production Technicians",Not outsourced,76,84.93716497567137,18.278574275308525,17.313692726134494,87,95.0016506210081,89.40598865435804
"Science, Engineering And Production Technicians",Outsourced,11,10.064485645336728,15.552212481418909,14.829176428584928,87,95.0016506210081,10.594011345641954
Secretarial And Related Occupations,Not outsourced,146,152.3611345049918,14.880519328470198,14.65361873497462,163,172.21802464866326,88.4699117968744
Secretarial And Related Occupations,Outsourced,17,19.856890143671453,13.134137843267371,13.228257991503174,163,172.21802464866326,11.530088203125596
Senior Officers In Protective Services,Not outsourced,25,25.68846175631976,23.133959976260062,22.387785832319942,25,25.68846175631976,100
Shopkeepers And Sales Supervisors,Not outsourced,87,95.70202971211215,13.929212627102967,13.876566073869348,114,122.64264059612275,78.03324296259298
Shopkeepers And Sales Supervisors,Outsourced,27,26.9406108840106,12.515305712508583,11.89987925853947,114,122.64264059612275,21.966757037407024
"Skilled Metal, Electrical And Electronic Trades Supervisors",Not outsourced,13,14.018733714916708,17.60595314234767,17.402950446662164,15,14.716357917561686,95.2595322392066
"Skilled Metal, Electrical And Electronic Trades Supervisors",Outsourced,2,0.6976242026449782,15.577041129527316,15.577041129527316,15,14.716357917561686,4.740467760793397
Sports And Fitness Occupations,Not outsourced,19,15.126787475043592,14.20967698165623,12.780796208296115,22,17.937552808190794,84.33027423972948
