SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
17,Other Service Activities,Sales Occupations,Not outsourced,10,7.456942818582862,482.47903621853897,452.6206255346835,17,15.097873183779665,49.39068389178282
17,Other Service Activities,Sales Occupations,Outsourced,7,7.6409303651968035,383.13349557134086,435.4619109038016,17,15.097873183779665,50.60931610821717
17,Other Service Activities,"Science, Engineering And Technology Associate Professionals",Not outsourced,7,4.84594265970536,751.0885293343856,774.0505816545895,11,7.567872945659298,64.03308689907176
17,Other Service Activities,"Science, Engineering And Technology Associate Professionals",Outsourced,4,2.721930285953938,964.704957028852,953.7207199070549,11,7.567872945659298,35.96691310092824
17,Other Service Activities,"Science, Research, Engineering And Technology Professionals",Not outsourced,14,12.575769094616126,748.80687099886,754.2531092880067,17,16.771378914386112,74.98351303618162
17,Other Service Activities,"Science, Research, Engineering And Technology Professionals",Outsourced,3,4.195609819769985,750.562717413546,910.6572914123134,17,16.771378914386112,25.016486963818373
17,Other Service Activities,Secretarial And Related Occupations,Not outsourced,5,4.65009803657389,481.9367710251688,439.0189730138449,5,4.65009803657389,100
17,Other Service Activities,Skilled Agricultural And Related Trades,Not outsourced,3,3.142278504920679,359.52885205647635,387.1885230406602,4,3.760367076105555,83.56307885173267
17,Other Service Activities,Skilled Agricultural And Related Trades,Outsourced,1,0.6180885711848763,558.6249232658072,558.6249232658072,4,3.760367076105555,16.43692114826734
17,Other Service Activities,Skilled Construction And Building Trades,Not outsourced,2,1.6542670419836236,563.9963167587476,564.3853525546175,2,1.6542670419836236,100
17,Other Service Activities,"Skilled Metal, Electrical And Electronic Trades",Not outsourced,4,5.733819379441055,662.829957028852,690.2663283308422,5,6.504433803648915,88.15247495061669
17,Other Service Activities,"Skilled Metal, Electrical And Electronic Trades",Outsourced,1,0.7706144242078602,1031.307550644567,1031.307550644567,5,6.504433803648915,11.8475250493833
17,Other Service Activities,Teaching And Other Educational Professionals,Not outsourced,1,1.0036688243360112,257.82688766114177,257.82688766114177,1,1.0036688243360112,100
17,Other Service Activities,"Textiles, Printing And Other Skilled Trades",Not outsourced,2,1.9652786149848138,510.625,502.292893115217,3,2.7783554725881765,70.73531930577836
17,Other Service Activities,"Textiles, Printing And Other Skilled Trades",Outsourced,1,0.8130768576033626,1289.134438305709,1289.134438305709,3,2.7783554725881765,29.264680694221646
17,Other Service Activities,Transport And Mobile Machine Drivers And Operatives,Not outsourced,8,12.632623355128953,707.6148710865561,715.2529982194001,11,15.029763342001175,84.05071369172305
17,Other Service Activities,Transport And Mobile Machine Drivers And Operatives,Outsourced,3,2.3971399868722223,623.0816451810927,592.6066550221655,11,15.029763342001175,15.949286308276955
