UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Other Elementary Services Occupations,Not outsourced,144,181.673371032515,306.5206624718641,307.37133902172434,183,243.1189003771051,74.72614048135252
Other Elementary Services Occupations,Outsourced,39,61.44552934459009,289.3761444019455,269.3387011961332,183,243.1189003771051,25.273859518647495
Other Health Professionals,Not outsourced,62,55.69589975201552,695.6956842709757,671.4596457836107,79,72.41922621205029,76.90761509786462
Other Health Professionals,Outsourced,17,16.723326460034777,611.520354602246,638.7356936153277,79,72.41922621205029,23.09238490213539
Other Skilled Trades,Not outsourced,8,10.707306856828826,638.4067104051564,630.3424545871399,8,10.707306856828826,100
Plant And Machine Operatives,Not outsourced,30,36.85037646817119,628.7987487210968,612.7636730622867,36,46.12290781920207,79.89603910625405
Plant And Machine Operatives,Outsourced,6,9.272531351030878,494.7418661755678,490.50591721899855,36,46.12290781920207,20.103960893745953
Printing Trades,Not outsourced,4,6.3430203704688015,605.8318477593615,595.8926380359325,4,6.3430203704688015,100
Process Operatives,Not outsourced,39,45.95548015062315,503.05016366026035,484.96236407872334,53,64.42819566968436,71.32821224147172
Process Operatives,Outsourced,14,18.472715519061197,584.3578865210909,550.0510957635775,53,64.42819566968436,28.671787758528268
Production Managers And Directors,Not outsourced,64,62.58426839138666,877.027062711019,846.6274906441654,73,71.08234677745084,88.04474138611306
Production Managers And Directors,Outsourced,9,8.49807838606418,812.8243298547166,845.1220294193749,73,71.08234677745084,11.955258613886944
"Production, Factory And Assembly Supervisors",Not outsourced,20,24.09337343462009,623.1421976672805,594.4956889661914,24,30.19350537924781,79.79654277300185
"Production, Factory And Assembly Supervisors",Outsourced,4,6.10013194462772,531.875,492.0954061299406,24,30.19350537924781,20.20345722699816
Protective Service Occupations,Not outsourced,87,87.43607020022714,792.8392991963195,798.1466023312032,98,98.81427628486784,88.48526092339236
Protective Service Occupations,Outsourced,11,11.378206084640713,639.6411630113287,612.0306895077485,98,98.81427628486784,11.514739076607638
Public Services Associate Professionals,Not outsourced,10,7.599277645293112,666.2053406998158,650.2391020181291,14,10.760004095284678,70.62523004636512
Public Services Associate Professionals,Outsourced,4,3.1607264499915666,403.3701657458563,403.294461229681,14,10.760004095284678,29.374769953634882
Quality And Regulatory Professionals,Not outsourced,33,30.324886829116107,747.5911509198802,755.7366518332598,37,33.20155879739818,91.33573219909331
Quality And Regulatory Professionals,Outsourced,4,2.8766719682820736,583.7679558011049,569.3510456864324,37,33.20155879739818,8.664267800906693
Regulatory Associate Professionals,Not outsourced,21,18.983661660064943,802.0864012394399,763.4338439530687,25,21.818071663098195,87.00888856356995
Regulatory Associate Professionals,Outsourced,4,2.83441000303325,1004.3646408839778,1017.0683227755017,25,21.818071663098195,12.991111436430034
Research And Development (R&D) And Other Research Professionals,Not outsourced,15,12.659263837242609,762.3898096992019,746.5051369271916,19,16.382065810275392,77.27513723758993
Research And Development (R&D) And Other Research Professionals,Outsourced,4,3.7228019730327824,789.3262737875997,833.6009412825343,19,16.382065810275392,22.72486276241006
Road Transport Drivers,Not outsourced,154,184.9719458633314,573.9755502339895,569.7437304310486,195,230.13921609021708,80.37393583144056
Road Transport Drivers,Outsourced,41,45.16727022688567,568.9709589153903,542.9774452282154,195,230.13921609021708,19.626064168559438
