ID,Sex,Age,Agegender_recode_useforquota,Region,Employment_Status,Is_an_employee,Consent_1_Ethnicity,Consent_2_TU,Consent_3_Health,Ethnicity,Has_Degree,TradeUnion,D6_Children_2,D6_Children_3,D6_Children_4,D6_Children_5,D6_Children_6,D6_Children_7,D6_Children_8,Has_Second_Job,Who_Pays_You,Job_Security,Work_Circumstance_Agency,Work_Circumstance_Contract,Work_Circumstance_Seasonal,Work_Circumstance_Trainee,Work_Circumstance_Other,Work_Circumstance_Other_TEXT,Org_Size,Is_Supervisor,Job_Title_TEXT,Main_Activity_TEXT,Employer_Activity_TEXT,Employer_Activity_SIC,Biz_Type,Non_Private_Biz_Type,Non_Private_Biz_Type_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_3_other,Q3v3a,Q3v3b,Q3v3c,Q3v3d,D7_Disability1,D8_Disability2,INCOME_FREQ,INCOME_OPEN_1,INCOME_OPEN_2,INCOME_CLOSED_ANNUAL,INCOME_CLOSED_MONTHLY,INCOME_CLOSED_WEEKLY,INCOME_CLOSED_HOURLY,HOURS,BORNUK,NatRepemployees,NatRepemployeesGraduate,unit_code,UnitOccupation,smg_code,MajorsubgroupOccupation,major_code,Majorgroupcode,SectorCode,SectorName,sum_true,outsourced,likely_agency,high_indicators,outsourcing_group,outsourcing_status
fea48de4-8506-47c9-8382-84df14b6f89f,1,24,3,11,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,,9,2,Mpo,Operate machinery,Plasterboard,3,1,NA,,2,2,2,2,2,1,1,,3,NA,NA,3,2,NA,1,36500,NA,NA,NA,NA,NA,39,1,0.8644568102230458,1.3740134877856462,0,64,0,14,0,6,3,13,1,0,0,0,not_outsourced,Not outsourced
bbb46e50-1f30-4aec-9632-6d441154637d,2,10,6,4,1,1,1,1,1,8,1,2,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,6,1,Customer Service Manager,"Manage other agents who are on the floor, and assist them when they are in need of help",Clothing and services,7,1,NA,,2,2,1,2,2,2,1,,3,NA,NA,3,2,NA,2,1750,NA,NA,NA,NA,NA,37,1,0.47212232699337403,0.460201516848921,414,3,41,1,4,1,7,23,1,0,0,0,not_outsourced,Not outsourced
60008d97-28a1-4271-9d13-d4a7ca07ad62,2,24,8,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,2,1,Assistant Store Manager,"Everything, deal with thr public, cash handling, stock control and stocking shelves",Food retail,7,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,1,3,1,36000,NA,NA,NA,NA,NA,48,1,1.031857984913014,1.056780656590536,115,52,11,6,1,5,7,23,0,0,0,0,not_outsourced,Not outsourced
28e68348-7e94-4490-9f72-627580174cf8,2,40,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,2,Social Worker,Child Protection,Safeguard children,17,2,4,,2,2,2,2,2,2,1,,3,NA,NA,3,1,2,1,40448,NA,NA,NA,NA,NA,37,1,0.7567939989679572,0.7502525076163397,246,104,24,3,2,8,18,11,0,0,0,0,not_outsourced,Not outsourced
5d540754-171e-45e7-b8f0-20419ca4c7b3,2,13,7,10,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,9,2,Senior policy adviser,Policy work including writing submissions and briefings,Justice system policy,15,2,3,,2,2,2,2,2,2,1,,3,NA,NA,3,1,3,1,45824,NA,NA,NA,NA,NA,37,10,1.043037996079458,1.0562462113811453,116,89,11,6,1,5,16,19,0,0,0,0,not_outsourced,Not outsourced
83353771-0343-47cd-8982-cc711b31fe0e,1,6,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,1,1,Director,Accountant/ Director,Financial services,11,1,NA,,1,1,1,1,1,1,1,,1,1,NA,NA,2,NA,2,50000,NA,NA,NA,NA,NA,18,2,0.7706144242078602,0.7788111103799845,113,40,11,6,1,5,11,10,6,1,0,0,outsourced,Outsourced
0b542bb1-8188-4f4c-a0c8-42434447893b,1,6,1,10,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,,1,1,Director,Accountant/ Director,Book keeping,11,1,NA,,1,1,1,1,1,1,1,,3,NA,NA,3,2,NA,1,50000,NA,NA,NA,NA,NA,18,2,1.8784272689672568,1.8983056418281485,113,40,11,6,1,5,13,18,6,0,0,1,high_indicators,Outsourced
44a184e9-ef91-4135-a4f7-221bb9c67daf,1,38,4,11,1,1,1,1,1,5,1,2,1,1,1,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,,5,2,Software Support Engineer,Customer support,Software development,21,1,NA,,2,2,1,2,2,2,2,,3,NA,NA,3,1,3,1,43000,NA,NA,NA,NA,NA,37,5,0.7656957272156861,0.7482404433473185,213,46,21,20,2,8,10,12,1,0,0,0,not_outsourced,Not outsourced
be8fb849-6a4d-4b72-abf4-9d662396255e,1,28,3,7,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,6,2,Senior Mechanical engineer,Engineering design,Forensic science tools,3,1,NA,,2,2,1,2,2,2,1,,3,NA,NA,3,2,NA,1,48000,NA,NA,NA,NA,NA,38,1,0.6966071279611606,0.6977041344788782,212,36,21,20,2,8,3,13,1,0,0,0,not_outsourced,Not outsourced
5edce118-6003-427a-af2c-b2ae4972c370,2,18,7,9,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,5,1,Director,"I manage staff, purchase goods.",Home goods,7,1,NA,,2,2,1,2,2,1,2,,1,2,NA,NA,2,NA,1,28000,NA,NA,NA,NA,NA,20,3,1.0595008234505991,1.0573492328025116,115,52,11,6,1,5,7,23,2,0,0,0,not_outsourced,Not outsourced
