UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Leisure and Travel Services,5,Leisure and Travel Services,NA,0.29708853238265004,94.94949494949495,66
Medical Practitioners,5,Medical Practitioners,NA,0.29708853238265004,94.6524064171123,67
"Production, Factory and Assembly Supervisors",5,Production,Factory and Assembly Supervisors,0.29708853238265004,94.35531788472964,68
Welfare Professionals,5,Welfare Professionals,NA,0.29708853238265004,94.058229352347,69
Conservation and Environment Professionals,4,Conservation and Environment Professionals,NA,0.23767082590612004,97.32620320855615,70
Public Services Associate Professionals,4,Public Services Associate Professionals,NA,0.23767082590612004,97.08853238265003,71
Quality and Regulatory Professionals,4,Quality and Regulatory Professionals,NA,0.23767082590612004,96.85086155674391,72
"Skilled Metal, Electrical and Electronic Trades Supervisors",4,Skilled Metal,Electrical and Electronic Trades Supervisors,0.23767082590612004,96.61319073083779,73
Sports and Fitness Occupations,4,Sports and Fitness Occupations,NA,0.23767082590612004,96.37551990493166,74
Teaching and Childcare Associate Professionals,4,Teaching and Childcare Associate Professionals,NA,0.23767082590612004,96.13784907902554,75
Building Finishing Trades,3,Building Finishing Trades,NA,0.17825311942959002,98.6333927510398,76
Hairdressers and Related Services,3,Hairdressers and Related Services,NA,0.17825311942959002,98.45513963161022,77
Media Professionals,3,Media Professionals,NA,0.17825311942959002,98.27688651218062,78
"Metal Forming, Welding and Related Trades",3,Metal Forming,Welding and Related Trades,0.17825311942959002,98.09863339275104,79
Other Educational Professionals,3,Other Educational Professionals,NA,0.17825311942959002,97.92038027332146,80
Transport Associate Professionals,3,Transport Associate Professionals,NA,0.17825311942959002,97.74212715389186,81
Vehicle Trades,3,Vehicle Trades,NA,0.17825311942959002,97.56387403446227,82
Animal Care and Control Services,2,Animal Care and Control Services,NA,0.11883541295306002,99.4058229352347,83
"Artistic, Literary and Media Occupations",2,Artistic,Literary and Media Occupations,0.11883541295306002,99.28698752228163,84
Design Occupations,2,Design Occupations,NA,0.11883541295306002,99.16815210932857,85
Managers and Proprietors in Agriculture Related Services,2,Managers and Proprietors in Agriculture Related Services,NA,0.11883541295306002,99.04931669637551,86
